distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_consumed,cost_of_trip
28.0,5.0,26,21.5,12,E10,0,0,0,1.4,2.7734
12.0,4.2,30,21.5,13,E10,0,0,0,0.504,0.9984240000000001
11.2,5.5,38,21.5,15,E10,0,0,0,0.616,1.220296
12.9,3.9,36,21.5,14,E10,0,0,0,0.5031,0.9966411000000001
18.5,4.5,46,21.5,15,E10,0,0,0,0.8325,1.6491825000000002
8.3,6.4,50,21.5,10,E10,0,0,0,0.5312,1.0523072
7.8,4.4,43,21.5,11,E10,0,0,0,0.3432,0.6798792
12.3,5.0,40,21.5,6,E10,0,0,0,0.615,1.218315
4.9,6.4,26,21.5,4,E10,0,0,0,0.31360000000000005,0.6212416000000002
11.9,5.3,30,21.5,9,E10,0,0,0,0.6307,1.2494167
12.4,5.6,42,21.5,4,E10,0,0,0,0.6944,1.3756064000000001
11.8,4.6,38,21.5,0,E10,0,0,0,0.5428000000000001,1.0752868000000002
12.3,5.9,59,21.5,10,E10,0,0,0,0.7257000000000001,1.4376117000000004
24.7,5.1,58,21.5,12,E10,0,0,0,1.2596999999999998,2.4954656999999996
12.4,4.7,46,21.5,11,E10,0,0,0,0.5828,1.1545268
17.3,5.1,24,21.5,5,E10,0,0,0,0.8823000000000001,1.7478363000000003
33.4,5.6,36,21.5,3,E10,0,0,0,1.8703999999999998,3.7052624
11.8,5.1,32,21.5,3,E10,0,0,0,0.6018,1.1921658000000002
25.9,4.9,39,21.5,8,E10,0,0,0,1.2691,2.5140871
11.8,4.7,40,21.5,4,E10,0,0,0,0.5546000000000001,1.0986626000000002
25.3,5.5,32,21.5,3,E10,0,0,0,1.3915,2.7565615
14.2,5.9,38,21.5,1,E10,0,0,0,0.8378,1.6596818
17.9,5.7,37,21.5,1,E10,0,0,0,1.0203,2.0212143
11.8,4.7,36,21.5,1,E10,0,0,0,0.5546000000000001,1.0986626000000002
12.3,5.9,62,21.5,6,E10,0,0,0,0.7257000000000001,1.4376117000000004
12.4,4.1,57,21.5,9,E10,0,0,0,0.5084,1.0071404
18.4,5.7,21,22.5,2,E10,0,0,0,1.0488,2.0776728
18.4,5.8,28,21.5,3,E10,0,0,0,1.0672,2.1141232
18.3,5.5,29,21.5,1,E10,0,0,0,1.0065,1.9938765
18.4,5.7,35,21.5,4,E10,0,0,0,1.0488,2.0776728
12.3,5.3,51,21.5,11,E10,0,0,0,0.6518999999999999,1.2914139
11.8,5.0,29,21.5,10,E10,0,0,0,0.59,1.16879
12.3,5.6,58,21.5,8,E10,0,0,0,0.6888,1.3645128
32.6,4.8,40,21.5,7,E10,0,0,0,1.5648,3.0998688
19.0,4.3,36,21.5,7,E10,0,0,0,0.8170000000000001,1.6184770000000002
12.1,5.7,36,21.5,8,E10,0,0,0,0.6897,1.3662957
20.0,5.2,37,21.5,4,E10,0,0,0,1.04,2.0602400000000003
4.9,7.4,26,21.5,6,E10,0,0,0,0.36260000000000003,0.7183106000000001
11.8,4.8,23,21.5,9,E10,0,0,0,0.5664,1.1220384
12.3,6.5,58,21.5,7,E10,0,0,0,0.7995,1.5838095
12.4,4.0,55,21.5,7,E10,1,1,0,0.496,0.982576
4.5,5.0,29,21.5,7,E10,1,0,0,0.225,0.44572500000000004
11.7,4.6,37,21.5,6,E10,0,0,0,0.5381999999999999,1.0661741999999998
10.2,4.3,44,21.5,7,E10,0,0,0,0.43859999999999993,0.8688665999999999
5.4,3.3,32,21.5,7,SP98,0,0,0,0.1782,0.3954258
2.0,9.9,21,21.5,4,SP98,0,0,0,0.198,0.439362
14.2,5.1,32,21.5,7,SP98,0,0,0,0.7241999999999998,1.6069997999999996
16.0,4.9,25,21.5,8,SP98,0,0,0,0.784,1.739696
11.8,4.9,25,21.5,11,SP98,0,0,0,0.5782,1.2830258
